"Date","symbol","buy_and_hold","sma20_50","rsi_mean_reversion"
"2022-05-11","ETHUSDT","69039.40397351","225486.64521451","5109.69723455073"
"2022-05-12","ETHUSDT","64907.9470198676","225486.64521451","4803.92266299168"
"2022-05-13","ETHUSDT","66546.0264900663","225486.64521451","4925.15908244368"
"2022-05-14","ETHUSDT","68095.3642384107","225486.64521451","5039.82761016066"
"2022-05-15","ETHUSDT","71036.0927152319","225486.64521451","5257.47479858864"
"2022-05-16","ETHUSDT","67008.6092715233","225486.64521451","4959.3954434654"
"2022-05-17","ETHUSDT","69229.1390728478","225486.64521451","5123.73977919314"
"2022-05-18","ETHUSDT","63414.2384105961","225486.64521451","4693.37132113844"
"2022-05-19","ETHUSDT","66872.5165562915","225486.64521451","4949.32304233446"
"2022-05-20","ETHUSDT","64870.1986754968","225486.64521451","4801.12885829843"
"2022-05-21","ETHUSDT","65399.6688741723","225486.64521451","4840.31564518012"
"2022-05-22","ETHUSDT","67655.2980132451","225486.64521451","5007.25772913141"
"2022-05-23","ETHUSDT","65341.7218543047","225486.64521451","4836.02690990539"
"2022-05-24","ETHUSDT","65543.3774834438","225486.64521451","4850.95170866146"
"2022-05-25","ETHUSDT","64325.4966887418","225486.64521451","4760.81474671595"
"2022-05-26","ETHUSDT","59345.3642384107","225486.64521451","4392.22858367611"
"2022-05-27","ETHUSDT","57194.3708609272","225486.64521451","4233.03073027805"
"2022-05-28","ETHUSDT","59345.0331125829","225486.64521451","4392.2040766174"
"2022-05-29","ETHUSDT","60054.3046357617","225486.64521451","4444.69819638012"
"2022-05-30","ETHUSDT","66184.7682119206","225486.64521451","4898.42188138807"
"2022-05-31","ETHUSDT","64301.3245033113","225486.64521451","4759.02573142991"
"2022-06-01","ETHUSDT","60197.0198675497","225486.64521451","4455.26073868531"
"2022-06-02","ETHUSDT","60731.1258278146","225486.64521451","4494.79062438899"
"2022-06-03","ETHUSDT","58778.8079470199","225486.64521451","4350.29700621858"
"2022-06-04","ETHUSDT","59754.3046357617","225486.64521451","4422.49480118636"
"2022-06-05","ETHUSDT","59808.9403973511","225486.64521451","4426.53846587397"
"2022-06-06","ETHUSDT","61584.105960265","225486.64521451","4557.92080763305"
"2022-06-07","ETHUSDT","60044.0397350994","225486.64521451","4443.93847756002"
"2022-06-08","ETHUSDT","59333.7748344372","225486.64521451","4391.37083662116"
"2022-06-09","ETHUSDT","59232.1192052981","225486.64521451","4383.84716959635"
"2022-06-10","ETHUSDT","55063.2450331127","225486.64521451","4075.30330040276"
"2022-06-11","ETHUSDT","50757.9470198676","225486.64521451","3756.66252301952"
"2022-06-12","ETHUSDT","47511.2582781458","225486.64521451","3516.37081234095"
"2022-06-13","ETHUSDT","40060.2649006623","225486.64521451","2964.91297718654"
"2022-06-14","ETHUSDT","40029.8013245034","225486.64521451","2962.65832778497"
"2022-06-15","ETHUSDT","40977.4834437087","225486.64521451","3032.79752982087"
"2022-06-16","ETHUSDT","35380.7947019868","225486.64521451","2618.57922345788"
"2022-06-17","ETHUSDT","35991.3907284769","225486.64521451","2663.7702397242"
"2022-06-18","ETHUSDT","32951.3245033113","225486.64521451","2438.7709336824"
"2022-06-19","ETHUSDT","37368.5430463577","225486.64521451","2765.69509691055"
"2022-06-20","ETHUSDT","37358.940397351","225486.64521451","2764.98439220788"
"2022-06-21","ETHUSDT","37279.8013245034","225486.64521451","2759.12720517553"
"2022-06-22","ETHUSDT","34774.5033112583","225486.64521451","2573.70679895483"
"2022-06-23","ETHUSDT","37904.6357615895","225486.64521451","2805.3720249665"
"2022-06-24","ETHUSDT","40563.5761589405","225486.64521451","3002.16370642993"
"2022-06-25","ETHUSDT","41137.7483443709","225486.64521451","3044.65894623784"
"2022-06-26","ETHUSDT","39661.9205298014","225486.64521451","2935.43098555509"
"2022-06-27","ETHUSDT","39487.0860927153","225486.64521451","2922.49125855476"
"2022-06-28","ETHUSDT","37882.4503311259","225486.64521451","2803.73005203275"
"2022-06-29","ETHUSDT","36430.7947019868","225486.64521451","2696.29110663603"
"2022-06-30","ETHUSDT","35463.9072847683","225486.64521451","2624.73049519478"
"2022-07-01","ETHUSDT","35090.3973509934","225486.64521451","2597.0865329668"
"2022-07-02","ETHUSDT","35331.4569536424","225486.64521451","2614.92767170968"
"2022-07-03","ETHUSDT","35571.523178808","225486.64521451","2632.69528927643"
"2022-07-04","ETHUSDT","38112.582781457","225486.64521451","2820.76245783811"
"2022-07-05","ETHUSDT","37500.0000000001","225486.64521451","2775.42439921952"
"2022-07-06","ETHUSDT","39290.3973509934","225486.64521451","2907.93406567938"
"2022-07-07","ETHUSDT","40976.4900662252","225486.64521451","3032.72400864473"
"2022-07-08","ETHUSDT","40200.0000000001","225486.64521451","2975.25495596332"
"2022-07-09","ETHUSDT","40298.6754966888","225486.64521451","2982.55805945972"
"2022-07-10","ETHUSDT","38687.4172185431","225486.64521451","2863.30671176346"
"2022-07-11","ETHUSDT","36304.6357615895","225486.64521451","2686.95391726647"
"2022-07-12","ETHUSDT","34390.0662251656","225486.64521451","2545.25410378932"
"2022-07-13","ETHUSDT","36920.5298013246","225486.64521451","2732.53704647219"
"2022-07-14","ETHUSDT","39517.2185430464","225486.64521451","2924.72140089762"
"2022-07-15","ETHUSDT","40769.8675496689","225486.64521451","3017.43160400797"
"2022-07-16","ETHUSDT","44895.6953642385","225486.64521451","3322.7895555689"
"2022-07-17","ETHUSDT","44326.1589403974","225486.64521451","3321.12816079112"
"2022-07-18","ETHUSDT","52352.3178807948","225486.64521451","3321.12816079112"
"2022-07-19","ETHUSDT","51070.1986754968","225486.64521451","3321.12816079112"
"2022-07-20","ETHUSDT","50383.4437086094","225486.64521451","3321.12816079112"
"2022-07-21","ETHUSDT","52167.2185430465","225486.64521451","3321.12816079112"
"2022-07-22","ETHUSDT","50836.7549668875","225486.64521451","3321.12816079112"
"2022-07-23","ETHUSDT","51280.463576159","225486.64521451","3321.12816079112"
"2022-07-24","ETHUSDT","52903.9735099339","225486.64521451","3321.12816079112"
"2022-07-25","ETHUSDT","47708.2781456955","203228.874977833","3321.12816079112"
"2022-07-26","ETHUSDT","47984.105960265","204403.852961138","3321.12816079112"
"2022-07-27","ETHUSDT","54163.5761589405","230727.309292986","3321.12816079112"
"2022-07-28","ETHUSDT","57103.3112582783","243250.063837737","3321.12816079112"
"2022-07-29","ETHUSDT","57009.2715231789","242849.471103933","3321.12816079112"
"2022-07-30","ETHUSDT","56192.0529801326","239368.263825667","3321.12816079112"
"2022-07-31","ETHUSDT","55566.8874172187","236705.16846855","3321.12816079112"
